year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2017,2017-02-07,Southbound,All Vehicles,130,60,35,45,109,404,1184,1595,1589,1196,863,975,983,1021,1254,1410,1577,1599,1289,908,745,641,454,246,0,0
2017,2017-02-07,Northbound,All Vehicles,103,54,61,44,86,344,765,1059,1209,928,708,767,839,839,1028,1130,1220,1232,1146,825,575,574,417,221,0,0
2017,2017-02-08,Northbound,All Vehicles,133,46,35,43,105,351,719,1069,1130,994,821,703,774,854,1027,1150,1203,1239,1186,847,594,560,423,223,0,0
2017,2017-02-08,Southbound,All Vehicles,157,61,57,55,101,410,1151,1560,1578,1149,961,945,981,1055,1257,1519,1601,1605,1401,935,719,700,465,268,0,0
2017,2017-02-09,Northbound,All Vehicles,105,65,70,46,116,356,728,1102,1111,892,796,733,785,887,1034,1167,1146,1249,1181,914,710,650,451,304,0,0
2017,2017-02-09,Southbound,All Vehicles,128,80,52,60,113,419,1198,1621,1605,1123,782,662,798,809,912,747,891,1065,953,761,610,557,448,283,0,0
2017,2017-02-10,Northbound,All Vehicles,133,73,63,47,125,348,729,1043,1089,934,695,789,850,866,1031,1092,1073,1105,1136,946,817,632,635,513,0,0
2017,2017-02-11,Southbound,All Vehicles,306,183,125,87,104,226,413,572,897,1045,1241,1072,964,1002,865,788,783,846,805,687,703,783,741,620,0,0
2017,2017-02-11,Northbound,All Vehicles,295,147,109,88,87,227,466,577,791,915,956,984,962,974,1033,940,1097,1003,1076,917,799,703,821,650,0,0
2017,2017-02-12,Northbound,All Vehicles,415,222,117,89,68,110,220,292,517,739,889,868,864,873,948,1095,1175,1116,1062,809,669,644,538,323,0,0
2017,2017-02-12,Southbound,All Vehicles,450,217,169,105,114,145,281,363,534,848,1039,1151,913,1079,991,1150,1101,1058,931,704,719,650,496,272,0,0
